film,user,star,time,content
安娜与国王,闲云野鹤,推荐,2013-05-19,剧情一般，但主角很搭，感觉很浪漫的爱情故事，朱迪福斯特真是无与伦比的高贵和迷人。
安娜与国王,莫西玛,推荐,2012-08-04,第一次看这个电影的时候其实我完全不觉得发哥有比英雄本色演的好看到哪里，第二次看的时候感觉两者是不能比的。
安娜与国王,毒药,还行,2010-09-07,这两个主角实在没火花。
安娜与国王,湖蓝,还行,2011-10-01,宫廷范儿十足和灰姑娘气息浓郁的片子，两年前无意间在央六发现的，印象不错，但是根据自己后来去查的资料，好像和史实不太符，但不妨碍这片子成为一个消遣时间的好选择。
安娜与国王,bobobolao,还行,2015-11-04,居然没有发哥和Jodie的吻戏！差评！
安娜与国王,查无此人。,还行,2011-02-25,一个女子拯救了国王。一个女子推动了国家的改革。国王爱这个女子。
安娜与国王,蜜思安娜,推荐,2009-01-01,当西方文化遇到东方含蓄……
安娜与国王,白菜,还行,2011-08-24,小马尔福在里面有一个配角。朱迪很漂亮，小费尔顿也很可爱，难得善良角色。感觉前面铺垫的很古怪。
安娜与国王,别处生活在,还行,2011-03-26,"因为那首“至少还有你”的MV, 让这部电影变得浪漫。  发哥真的很帅"
安娜与国王,JH,还行,2011-01-23,生命中有意义的部分微乎其微，往往还未发生就消失了。但却能深远地影响未来。
安娜与国王,糖仙贝,推荐,2011-06-02,不要因为是新版就打低分好么！
安娜与国王,sign,力荐,2011-09-21,"总是让人吃惊的是，有意义的时光总是只占生命的一小部分。经常是，还没有开始，就已经过去了。   　　 “即使它照亮了未来，并让人无法忘记那个主人公。  “他们在未来洒下了一道光芒，使置身其中的人久不能忘”"
安娜与国王,问津,还行,2014-10-13,2014-10-13 制作精良内容浅白的电影，像大仲马一样利用历史，完成人物塑造，堪称言情典范，也给西风东渐文明相碰的嶙峋打上了柔光。西方以先进的形象出现在影片中。同样是殖民时代的东南亚背景，另一部电影《印度支那》完全虚构人物和情节，赋予象征意义以刻画时代反思历史，更显深厚丰富波澜壮阔。
安娜与国王,恰斯丽娘,还行,2009-09-03,演员把握的很到位，但故事老套
安娜与国王,Mr.rmvb,还行,2009-08-22,一个华丽的爱情故事
安娜与国王,小天狼星,很差,2016-07-12,我真是要笑死了……在电视上看的，又觉得像泰国片，像印度片，可是又有周润发，又有欧洲人，一说泰国话就忍不住想笑……
安娜与国王,完颜穆尔登格,还行,2015-01-15,西方人想象中的改造东方 小时候我只是为了看看周润发 后来真的知道了泰国王室和上层其实都是华裔之后 违和感少了很多
安娜与国王,麦兜约了麦当雄,还行,2019-03-05,好长的故事，内容铺的太多，除了异国风情，能记住的点反而不多，文化冲突和剧情冲突最深刻的就是执行死刑那一幕了，我对百灵的角色印象甚至盖过主角，发哥还真的是有贵族气质的，很有国王样，其他人物事件都比较扁平，两个人的感情线就是发乎情止乎礼，遗憾美
安娜与国王,christann,还行,2008-12-30,其实我是被他们蹩脚的泰文雷到了。
安娜与国王,jerry,还行,2006-06-17,"周润发,朱迪·福斯特主演"
红色恋人,烟花四月,力荐,2009-04-01,少年时期进电影院看的第一部张国荣的电影。多年后重温，依旧感动。
红色恋人,Fiona,2006-04-04,2006-04-04,看过很多次的片子
红色恋人,Cassie君。,力荐,2013-11-21,那天又看了一遍其实和第一次看差不多小时候看的早没印象了 啊 感觉很好看诶！！后面哭得稀里哗啦……额……
红色恋人,二拨子一枝花,还行,2008-12-04,我说~张国荣还是不要演这些革命中人....好不爽- -
红色恋人,火星小朋友,还行,2009-07-09,说实话，不行
红色恋人,胡子捉摸,推荐,2008-04-25,张国荣演讲那段超风采。
红色恋人,Mo in asylum,还行,2009-04-12,哥哥很好，片子很烂
红色恋人,会发光的牛,2009-10-08,2009-10-08,不晓得要给几星，哥哥的表演无可挑剔，电影的其他一无是处
红色恋人,chuchu,还行,2009-11-10,太阳出来了  一只鹰  一只鹰从地面飞向天空
红色恋人,钟小奔,力荐,2007-08-18,看这部电影的时候好像还在上小学。那时侯觉得梅婷很漂亮，哥哥很有魅力。不错的电影。
红色恋人,夏天回不去了,很差,2006-08-20,感觉就像让程蝶衣一边跳忠字舞一边唱《霸王别姬》那么不伦不类，当然，这不是张国荣的错。
红色恋人,迷 | | 乱,还行,2008-07-18,哥哥演这个角色有点出乎意料
红色恋人,老泰瑞,还行,2019-07-15,张国荣演的主旋律电影，还是一个党员……
红色恋人,kindsos,还行,2011-04-28,居然去电影院看的当年。。
红色恋人,朝闻道夕死可矣,还行,2009-08-27,小时候在电影频道看到时惊到了 - - 没看懂为啥还有激情戏
红色恋人,跟小阿瞒一起,还行,2016-08-07,看了国粤两版，只有哥哥在演讲的时候是原声，哥哥普通话十级！比我好！
红色恋人,Vivi,较差,2008-12-07,白瞎Leslie了。
红色恋人,ipanema,2008-04-05,2008-04-05,张国荣演PARTY MAN
红色恋人,有戏,还行,2010-10-28,这应该是很久前在电视上看的电影了，all for leslie
红色恋人,...,力荐,2011-09-12,五星是给哥哥一个人的
洗澡堂老板家的男人们,皇帝的新妆,推荐,2012-01-24,我妈特别喜欢看。
洗澡堂老板家的男人们,Meganshen,力荐,2009-08-03,搞笑死了
