film,user,star,time,content
钢琴课,Anamnesis,还行,2011-04-05,"诸如此类的故事，习惯性对女主进行心理分析。情与欲，爱与性，从何而来，因何而起，追溯或许毫无意义，what‘s done is done.但请不要像电影里这般disgusting. 无论灵或性,都看不到吸引.     原声大爱"
钢琴课,狐狸牌葡萄,还行,2012-09-26,我的意志选取了生命，但是始终有一种无声的寂静存在与内心和梦境中。
钢琴课,荦旯蒯庖,推荐,2013-11-08,残障人士很多都有一定程度的偏执，内心深处的黑暗。最后的结局居然让我想到杜十娘怒沉百宝箱，一种无声却有力的反抗，用生命作武器。
钢琴课,册子婆婆,推荐,2008-08-24,high school time...the first movie watched by self with astonishion
钢琴课,但求一醉,推荐,2011-04-27,她有语言障碍，那么就用钢琴来表达吧。美丽而又细腻的女性电影杰作，细腻是由于本片导演为女性，女性视角充斥其中；美丽是因为这是有关钢琴、音乐的电影。不需要用语言多说，只要静静体会，用心聆听的的一部文艺佳作
钢琴课,shyv,推荐,2009-01-19,The Heart Asks Pleasure First
钢琴课,寓意,推荐,2010-08-23,挺美好的感觉，那种太安静的爱，只能靠钢琴来表达。
半生缘,醉舟一季,推荐,2016-07-19,结尾镜头看得我想用水果叉戳心脏，许鞍华这一版最接近原著，吴倩莲的气质太性冷淡，黎明温柔得发光，再深的爱情也逃不过世俗的羁绊。
半生缘,与碟私奔,力荐,2018-02-01,想当年看过一个版本，可能是VCD，忘了……今天再看蓝光版本下载投屏观看，过瘾。想当年的小鲜肉们……
半生缘,兜兜,较差,2006-07-12,跟刘若英的话剧没法比……相比原著更是失色太多……失望啊~~
半生缘,李翎竹,还行,2012-12-05,前几天看的。里面说葛优的一句话，笑的时候像猫，不笑的时候像老鼠。吴倩莲年前的时候也挺漂亮。电影没什么感觉。
半生缘,Tartan,推荐,2010-01-11,"为嘛有人说吴倩莲是美女？,,,"
半生缘,夏落不明,推荐,2012-03-28,许鞍华的电影真的每部都有一首诗诶。“感时花溅泪，恨别鸟惊心”。世钧跟曼桢初识，在冬日荒凉的树林拍照的场景，跟看原著时脑补的画面完全一样。看完没有预期的感动和伤感，不管半生缘还是一生憾，生活就是这样，每个人到了中年，经不起流年变幻时，都有一个世钧会让我们感叹“我们回不去了”！
半生缘,SelfishJean,还行,2012-09-20,作为一个原著热爱者，是不可能满意的。也不可能会满意。虽然各位主角都已经很好了。
半生缘,Aubrey,推荐,2017-12-19,你我只有半生的缘分，却因此，老了还有三两件事可以拿出来讲。结尾喧闹的小酒馆就像这场乱七八糟的人生，最好最美的，也就是打着电筒给你找红手套那个午夜了。四个人，都继续用下半生和不爱的人在一起。ps喜欢许叔惠和石翠芝的角色，懦弱，逃避，泛一次舟，爬一次山，恍恍惚惚就是一辈子了。
半生缘,Derridager,较差,2018-08-09,太差了，只值两颗星。除了黎明有些接近世钧外，我觉得剩下的选角都非常失败，特别是顾曼桢。并且，我觉得许鞍华完全没有抓住原著的精髓——那种美好到残酷的光谱式变化（just my opinion）。这一下，我作为原著粉，也算能够理解为了村上原著来看《燃烧》的朋友最后扫兴而归的感受。
半生缘,白小青,还行,2009-01-17,难为我对着C6守到后半夜，梅艳芳黄磊是惊艳的，戏感无限；女主是焦木一块。。全明星阵容满难得。
半生缘,zhizhong,推荐,2012-06-07,只要緣堅，一切時間，空間，事端都僅是讓石頭變得靚麗，形成空間的浪花。
半生缘,狄飞惊,力荐,2010-11-14,回不去。小说人心之无常变成电影世事之无常，许鞍华删减有道，深得《惘然记》惘然之味。其起承转合处，也是少有的决断凌厉。
半生缘,洛梦蝶,推荐,2014-03-26,张爱玲小说改编的电影念白总有股浓重的戏剧腔，从许鞍华到李安皆如是，如果是个别现象可以理解为演员台词功力不足，但集体性的就难免怀疑是编导刻意为之了。从文本而言，格局并不像金锁记那么大，从电影的铺排来说又比较赶，篇幅所限，遗憾不少。只是在高潮时仍被一句“我们都回不去了”击中，怅然若失
半生缘,乐银林,还行,2010-11-30,可怜之人必有可恶之处  任何结果都会有它形成的原因  自作孽
半生缘,岁月无痕,还行,2018-08-30,剧情发展过快，整体看下来跳跃性极强，原本应该细腻的地方却一个镜头就过去了，世钧那种楞头青倒是演出来了，只是曼祯我只看到她豪迈的一面，却看不到一丝她柔情的一面。
半生缘,helicopter,推荐,2013-08-21,小时候看半生缘，算是悲剧的启蒙，那种难受却又哭不出的感觉到现在还是一样。
半生缘,盲忙,推荐,2016-06-13,这样的卡司，那时候的他们啊，美的让人落泪。也许是原著先入为主，我反而觉得许鞍华的版本没有张爱玲那么悲，克制又如鲠在喉。
半生缘,PJT,很差,2011-06-03,两个主角长得也太古典了，气场太老上海了，节奏又超拖沓，看了一半实在坚持不下去了。
半生缘,bon_bi,推荐,2018-09-07,「你现在告诉我这些 我该怎么办」「我们回不去了」电视剧版童年阴影 电影版虽然时常限制但对人物性格刻画得更深入 最初暧昧阶段拍得很美好 大家的大衣都好好看 叔惠与翠芝 着墨不多却比曼桢世钧更让人觉得可惜
半生缘,膏膏,推荐,2010-10-23,剧本写得很好，台词到位，把张爱玲作品中那种自尊心、虚荣心看似婉转、实则批判地表露出来。
真实的谎言,时代太潦草,还行,2013-11-28,州长的演技只配用来演机器人，太生硬。比起恐怖袭击，州长的反恐行动对美国更具毁灭性。
真实的谎言,ゆきユキ,力荐,2009-09-23,"认识州长的第一部电影  最后垂直升降战斗机让人印象深刻，傻逼直接被吊在导弹上射的毛也没了  还有骑马跳大楼等镜头"
真实的谎言,心之以往,推荐,2020-01-21,海伦逗比本质 哈哈哈哈哈哈  不过酒店那段舞蹈确实性感  哈瑞单挑那群人的火拼场面还是有点假  后面对着窗户里面一阵扫射的时候不怕误杀女儿吗🤨  PS. 如果哈瑞不是间谍  女儿是不是就一直看不起哈瑞🥴  而在我眼里  我爸是施瓦辛格耶 帅已经让我骄傲😂
真实的谎言,熊猫的异想世界,推荐,2010-01-26,看在James Cameron的份上才有兴致看的老片儿。一曲探戈完美的给电影画上句点。加州州长原来演电影这么有味道哈。
真实的谎言,只桃子,推荐,2012-02-05,嗷= =。惊险中突然又有几秒的搞笑 
真实的谎言,away,较差,2015-06-14,看了施瓦辛格的老电影《真实的谎言》，还以为是书改编拍摄的，没想到越到后来就越戏剧，真的看不出这样的电影能有如此高的评分，到后来几乎是一部无厘头的闹剧了啊。
真实的谎言,左岸 右轉,推荐,2011-08-05,十多年之後複習這部片子，不得不再次感嘆卡梅隆的想像力！！！
真实的谎言,Lu,力荐,2011-04-18,州长老婆是淫贱住家菜
