film,user,star,time,content
边城,墨丘里,较差,2011-11-12,呃，老片子，就是这样。
边城,Ex,2006-09-07,2006-09-07,从心里不喜欢这个改编，没来由的不喜欢。
边城,两颗小虎牙,推荐,2018-09-18,弹幕有人打 就这么简单的一个故事 ，就成了经典。时常想起一个教授的一句话 作品的伟大与否 不在于作者 在于是否遇到伟大的读者，读者有多少深度广度 作品就有多少深度。
边城,麦兜约了麦当雄,推荐,2019-05-18,书里细腻的描写，电影已经可以发达出七八分了，旁边很温柔，我可以接受
边城,诸葛铁铃,还行,2017-02-12,如果大鱼咬你再多唱三年六个月的歌
边城,欧阳疯不明白,较差,2019-12-10,旁白和注解真的太太太影响观影体验了，就好像在电影院看电影，然后旁边坐了一个爱瞎逼逼的观众。
边城,啾啾啾,推荐,2012-06-02,印象很遥远  当时我们还高二吧 在教室里看的
边城,Au,推荐,2018-10-20,我的高中同学觉得这是一部烂片，宁愿摸黑写作业也不想把一丝注意力放在屏幕上，要不就是开经典电影的黄色玩笑。但是我觉得，傩送“也许再也不回来了，也许明天就回来。”
边城,瑪格麗特。,还行,2013-04-14,高中时候语文老师放的，今天写读后感的时候想起来要标记一下。
边城,鸠tiffany,力荐,2010-03-11,爷爷死后翠翠一个人摆渡的那个片段，心酸至极
边城,Flora,还行,2010-11-05,语文课看了两节课，我很蛋疼。三颗星绝对便宜这片了。
边城,两株枣树,还行,2020-02-09,没有拍出沈从文小说的韵味来，差好多，情节上感觉很急，当然原著确实不好拍出来。比《城南旧事》差好多。
边城,snoopy,推荐,2010-02-09,在去凤凰的路上，大巴上放的这部电影。
边城,LoVe,还行,2013-04-13,高中语文课看的。
边城,Le-cristal`,推荐,2014-02-26,果然只有通过高中老师才会看这种电影了。改编自然不如小说。二老明显帅，沈从文老爷爷怎么就不能成人之美呢。毕竟年代放在那儿，还是要给经典赞一个！
边城,兔子,力荐,2009-12-19,和书一样美
边城,江依璃,推荐,2010-03-22,又是几节黑不溜秋有人玩手机的语文课
边城,北纬阿德,推荐,2019-09-29,一打开头就有些不敢看，这样一个悲剧啊……  前面有多美好，后面就有多悲伤。爷爷死的那个夜晚，带着对孙女深深的担忧与放心不下，颤抖着编草鞋的场景，让人忍不住潸然泪下。    “这个人也许永远都不回来了，也许明天就回来了。”
边城,陶陶,推荐,2017-02-24,台词和原版基本一致，最后爷爷抑郁走了，看的心里特别不是滋味，爷爷该有个幸福的晚年，不曾想是这样的结局。我不喜欢二老。
边城,Agraynel,很差,2011-02-22,“爷爷 我要你。”
编辑部的故事,蚂蚁蚂蚁,还行,2011-06-20,当年太小 情节完全不记得了~
编辑部的故事,带子狼,推荐,2017-08-20,办公室几位编辑性格分明，人物对白精炼幽默，很多故事触及社会问题敏感把握到社会的变化，这些社会在今天只会有过之而无不及，在中国有意思的一点是有人发现问题提出来就是一直解决不了，王朔的本子的确很厉害
编辑部的故事,馬悌原,推荐,2013-06-09,那时候的王朔和老戏骨们。经历七十八十年代后应该有的反应和应该有的情怀。段子戏电影的雏形，估计当时说相声的不怎么高兴。
编辑部的故事,阿依达,推荐,2016-12-31,真贫，就是有点太政治主旋律了。
编辑部的故事,卢天白,推荐,2012-03-22,改革开放！
编辑部的故事,Shelduo,力荐,2017-11-08,看着1990年的北京，想念2017年的北京，那时的北京一点儿雾霾没有，大马路全是自行车，现在也是共享单车横行霸道，但是在雾里穿梭、霾里寻他。
编辑部的故事,大象席地而坐,推荐,2014-02-08,一段美好的回忆。
编辑部的故事,大头绿豆,力荐,2012-11-06,经典啊经典
编辑部的故事,光影交错,力荐,2011-04-05,太过经典 太多回忆 太多明星 
编辑部的故事,littlestar,推荐,2007-08-23,吕丽萍，葛优大叔，搞笑的年代……
编辑部的故事,湖岸,2009-03-23,2009-03-23,看的时候小，随大人们看的，好像不是太明白
编辑部的故事,大奶豆豆,还行,2010-10-18,大瓷缸子
编辑部的故事,一灯,2016-12-27,2016-12-27,正片25集，人物生活都很真实，后6年，冯小刚独自弄三集贺岁，葛优的光头出来了，再也不像李冬宝了
编辑部的故事,桑丘,推荐,2011-01-01,拿个罐头瓶当水杯，喝得津津有味的
编辑部的故事,胡辣辣,2011-01-18,2011-01-18,看过的集数不多...
编辑部的故事,Sherry CX,力荐,2010-11-21,当年那帮人真他妈有才啊
编辑部的故事,怪怪,力荐,2011-05-04,好，非常好。
编辑部的故事,巴塞罗那蛋糕,力荐,2012-08-30,时隔8年再看…是什么让电视剧30年还不过时？是人性仍旧就是那么几种罢了。
编辑部的故事,胡桃园咔嚓女王代表老柴咔了你,推荐,2018-03-03,当时确实看得很开心觉得很好看的。现在是怎么也拍不出了。╮(╯_╰)╭重感冒症的，花钱也拍不出。
编辑部的故事,Vi,推荐,2020-04-19,故事一般，台词不错，李东宝和戈玲调情最好看
无言的山丘,NSFW Fans,力荐,2017-09-02,首尾呼应讲故事，矿山讨生活群戏，结构和内容都很圆满。阿柔真是个鲜活的女性形象！她和阿助情愫暗生的戏份元气淋漓，平实而不乏诙谐，这集中体现了全片独特的风格。整个就仿佛古典话本小说，妙笔如画。金蟾蜍、边缘人的身份认同等发人深思。出殡之后后一半更加好看，无言山丘远观着多少人生海海。
无言的山丘,风一样的男子呀,力荐,2019-03-29,台湾殖民期的血泪史，故事沉重却并不压抑，最后总能看到一些生活的希望，哪怕是在最困苦的环境下。最后看演员表才发现竟然有黄品源。。。
无言的山丘,赤色尘埃,力荐,2019-08-10,“是谁说死人不能骂的？干！你们这些活人也一样啦 地上看得见的不愿意捡 甘愿去跟那些看不见的拼个死活 那现在呢？死的死，逃的逃了，除了那些日本人以外 你们哪一个赚去吃了？”企图改变命运的一批人，躲在阳光都看不到的矿洞里，以为忍一时 努力后就会成功，结果梦想只是个虚无缥缈的东西，看的见 永远摸不到。雷声四起，山丘依旧无言，虽然在时代的洪流下不值一提，但这是属于蝼蚁的伟大悲歌。
无言的山丘,小鱼和小胖子,力荐,2020-03-13,台湾竟有如此作品，厉害了，挺长时间没看到这种级别的电影了，豆瓣不到万人标记，一颗大遗珠啊😎😎😎
无言的山丘,栞,力荐,2014-03-28,看完之後，整個人心情都變得很差，非常差……
无言的山丘,走蓝,力荐,2019-08-16,太好的电影，看完心中只有苦与泪，叹息和惆怅。不敢太多的评价，只能说说触动自己的几点，红目和富美子的身份悲剧；阿助阿尾的兄弟情深；阿助和阿柔的日久生情；阿柔最后的有情有义……以及其他一众角色的经历，都深深的表现了当时台湾底层人民的苦与乐。这里有太多属于我们这个民族的特性，重视乡土、重情重义、抱团取暖，哪怕自己苦不堪言，也能对他人抱有怜悯之心。哪怕未来迷茫无途，也能在当下苦中作乐。只是太多的人选择麻木，愿受压迫和剥削，还是成仔来的壮烈，懂得反抗；或是憨溪活得聪明，能够放下。到头来是一直隐忍的阿柔，能够毫无留恋的离开，留下其他人在这想却不能得的无言的山丘，继续的徘徊。
无言的山丘,Carl,推荐,2013-04-16,电影很有沧桑感，不错，3个小时
无言的山丘,土地测量员小K,力荐,2020-07-04,越过山丘，才发现还是山丘，连绵不绝，无处可藏。  忍无可忍下眼镜叔喊道“我们这样还像人吗？”与日本人以命相搏。
无言的山丘,黎黎洲,力荐,2018-08-03,本是带着看《悲情城市》的情绪开始的电影，没想到观影过程这么有趣完全不沉闷，好几处情节惹人发笑，虽然底色悲凉但绝对不是一副苦大仇深的哀叹口气。每个人物都丰满立体，尤其喜欢老鸨和杨贵媚饰演的妇人。矿工的生活和吴念真的《这些人那些事》互为辉映，很值得一看。
