,film,user,star,time,content
57,飞鹰计划,尘目,还行,2018-06-07,年轻真好哪。一大胆+三美。  乍一想很容易质疑成龙为何能成为一个文化符号——颜值不高，典型剧情戏演技似乎也不突出，但考虑到他在动作片里拼命三郎的劲头，以及导演、主演、主题曲都包了的那种亲力亲为，当然还有其打戏的趣味性设计，便会发现他成为独树一帜的文化符号也有坚实的基础。
58,飞鹰计划,野毛,还行,2009-08-16,非常欢乐、热闹，而且具“荷里活触觉”的片子；尽管特技极其土法，却有现今大部分无论华语、或是荷里活大片中所“闻”不到的“人味”，娱乐片，就该这样拍（以人为本，而非以CG为本）。
59,飞鹰计划,北野 雨,力荐,2015-06-06,哈哈小学就很喜欢这个片子，到现在都能用相同的语音语调说几句里面的逗比台词，总算是把前半部分看过了，故事编的很好看且笑点满满，打戏过瘾且创意十足，另外使我意外的是这片居然是成龙自己导演的哈
60,醉拳2,依然饭特稀,推荐,2012-08-10,时隔16年，成龙大哥早已声名鹊起，再演《醉拳》早已今非昔比，明星阵容强大，导演由袁和平换成了刘家良。故事性和娱乐性都超过了第一部，“小妈”梅艳芳撑起了半边天，母子俩之间笑料百出。动作设计也有进步，只是搞不懂为什么还要把成龙搞得那么惨。结尾成龙大哥主唱的《醉拳》太经典了！
61,醉拳2,打盹的拉布拉多,还行,2008-06-28,刘家良的功夫很扎实经典  
62,醉拳2,悯笈,推荐,2013-02-26,武术指导真是没的说。。打得真漂亮
63,醉拳2,爱的镇魂歌,力荐,2016-03-21,从阴差阳错的掉包展开几番波折，搞笑段落和正经故事接合得不错，飞鸿跟后妈穿一条裤子是对儿有趣的活宝组合，父亲训斥醉鬼儿子时那痛心疾首的表现也很赋感染力。工厂里烧红的铁链，火中打滚，以及痛饮工业酒精，给打戏增添不少压迫感，那么狂野的打法大概也是喝坏脑子了。
64,醉拳2,妙歌,推荐,2008-06-08,喜欢里面的梅艳芳
65,醉拳2,潇湘夜雨,推荐,2011-12-29,梅艳芳太惊艳了
66,醉拳2,雲の彼方,推荐,2011-05-03,QMDb：8/10  《醉拳Ⅱ》
67,醉拳2,fire,推荐,2014-12-23,童年啊！不知道断断续续看了多少遍
68,醉拳2,太白兔,暂未评价,2013-02-20,在宁波看的，中午，看完就去坐火车了。有一屋子小孩子。以后再没有见过他们。
69,醉拳2,HighlyLeopard,力荐,2012-06-19,功夫喜剧的巅峰之作。即使是以今天的眼光看来，武打动作设计得也真是漂亮。
70,醉拳2,小鱼,推荐,2013-09-02,为什么香港人当年可以拍出那么好看的动作片，为什么现在的香港动作片都走偏了呢？
71,醉拳2,毛香菇,力荐,2009-07-23,梅姐太有喜感了
72,醉拳2,Sandi,还行,2009-12-30,成龙的呀
73,醉拳2,但求一醉,推荐,2020-05-10,刘家良+成龙，想不精彩都不可能，要下下来再看看。
74,醉拳2,so love summer,推荐,2011-12-08,很搞笑的说
75,醉拳2,amelie,推荐,2011-03-16,梅姐太搞笑了。。。
76,醉拳2,穆如初,推荐,2020-03-07,梅姨好可爱呀~打斗依旧精彩1.华仔也太帅了吧我的天哪2.真是大牌云集3.不是，我的华仔呢？？？
77,醉拳2,某J。624,暂未评价,2012-08-07,我是多么萌成龙和梅艳芳做母子= =
78,醉拳2,Ivan,还行,2009-08-18,好老的片子了，不过的确是经典。
79,醉拳2,Try。try√,推荐,2011-01-10,饰演成龙小妈(继母)的人嘴真能说、
80,生死时速,爱上女逃犯,力荐,2011-11-17,有史以来最经典的动作片之一，整个电影情节都在高速运行的汽车上发生，令人心跳加快。
81,生死时速,忘不了,推荐,2010-04-09,近20年前的片子，情节足够紧张刺激，一部好的商业电影
82,生死时速,傩傩不是熊,推荐,2012-10-08,造成的损失远大于勒索的赎金！ps:基努里维斯真心帅呆了，桑德拉布洛克各时期的感觉都不一样~
83,生死时速,BaiYuGG,推荐,2008-01-05,两位主角好登对啊 hoho
84,生死时速,野生卷毛,推荐,2010-02-16,第一次看是初中还是小学不记得了。基努啊你的片子还是早年时好看
85,生死时速,你说什么都对,力荐,2010-04-24,只记得看完后觉得男主帅得不得了~之前明明觉得他不够帅的……
86,生死时速,我爱看电影,推荐,2013-08-16,shoot the hostage。。。导演烧了多少钱啊把飞机都炸了。。。当年的里维斯都嫩出水来了。。。
87,生死时速,celestebook,还行,2014-03-04,看到后面有点疲劳。让我想起了名侦探柯南剧场版第一部那个不能停下来的新干线。
88,生死时速,公子踏月而来,推荐,2008-04-23,第一次看的时候是相当的惊险刺激。  电视又在重放，这次看的就是基努了。
89,生死时速,疏芸汐落,推荐,2007-12-14,尽管老套，还是喜欢上了Keanu Reeves和Sandra Bullock。
90,生死时速,梅斯布,推荐,2005-07-27,可能知道的人不多，其实《生死时速》翻拍自日本1975年的电影《新干线大爆破》，所以，speed suck
91,生死时速,Reminiscent,推荐,2011-03-29,这电影要在北京拍，人早死光了。。。
92,生死时速,杜扬Seatory,推荐,2006-10-11,老片了 小时候看的
93,生死时速,放风的人,推荐,2009-05-14,速度即是生命。千万不能停车啊
94,生死时速,工口君,推荐,2011-12-25,我覺得4星滿滿的啊，難道是我欣賞水平太低..
95,生死时速,狐,推荐,2007-04-22,其实非常不想看这种电影了，只想找个出口……
96,生死时速,yocofcjx28,力荐,2016-12-22,紧张！真的紧张！！！基努里维斯太帅了！
97,生死时速,与碟私奔,力荐,2018-05-27,『补標经典』现在看蓝光画质也没有想当年看录像带翻录的效果或者后来的VCD百看不厌以及那种惊心动魄的感觉……
98,生死时速,Mathilda,力荐,2008-01-19,谢谢炸鸡哥送我精九 还有比这更好看更激动人心的电影吗
99,生死时速,布拉德痞特儿,还行,2013-06-02,镜头流畅度不够，剧情硬伤也不少，该表现的情节没表现出来，该缩减的没缩减，导致不分段落拖沓了，还有基努和女猪脚的演技...
100,勇敢者的游戏,愚者小山,力荐,2010-09-01,一个棋盘游戏 毁了小男孩和他的一家 ，当再度被2个小孩发现的时候，打到5或8点 他才    返回。只有将游戏玩完所有恐怖的东西才会消失，他找回儿时玩伴 一起进行这个勇敢者的游戏，这个小镇    在经历种种灾难后终于归tai 
101,勇敢者的游戏,Castor ⊿ ⊿ ⊿,还行,2012-01-27,95年的奇思妙想和光影特效，现在观看就显得平淡无奇了，有些电影确实会有保质期的吧。电影节奏过慢，放映一半之后才开始真正主题。JUMANJI的创意不错，可惜细节设定不严谨。
102,勇敢者的游戏,汽水|不core不得嗨,力荐,2008-02-23,从小看到大还是喜欢～  Kirsten Dunst好可爱～
103,勇敢者的游戏,唔唔唔唔,推荐,2010-11-25,看评价大家都是小时候看的呀~~ 都是在中央六套看的么？ 同样回忆，那时真的觉得很精彩，现在回忆起来也觉得很美好！
104,勇敢者的游戏,Kiki M,推荐,2008-01-01,不错  现在看来，技术没最开始的看得时候惊讶了
105,勇敢者的游戏,新世纪腐淫战士,推荐,2013-12-07,小时候爸爸推荐给我看的，现在总算见识其芳容了~看片的时候我觉得最可怜的就是姨妈，尼玛明明就不是她惹的祸，她却遭遇到了比主角们更悲催的经历~但是最后父子相拥还是很感人的，不知为何那一段纯真的亲情我特别想刷yooooooo，艾玛现在满脑子都是什么东西~演员很强大哦~
106,勇敢者的游戏,喃就是喃,还行,2018-01-17,小时候的噩梦 参加朋友生日聚会时候看到 吓死了 大洪水什么的 逃不掉的感觉
107,勇敢者的游戏,minyee13,还行,2007-11-24,其实吧 我还挺喜欢这种类型的
108,勇敢者的游戏,yourstepmom,较差,2011-02-04,Simpson模仿过。
109,勇敢者的游戏,Garing,力荐,2008-10-09,凡是魔幻的历险电影我都爱，这部更是大爱，pearl都播了不下十遍了，说明真的是好电影啊！
110,勇敢者的游戏,特写蒙汗药,推荐,2011-11-30,昨天跟赫赫一起看了《勇敢者的游戏》电影，上周看了奥尔斯贝格的漫画书，赫赫HIGH暴了，看电影时候也在沙发上蹦来跳去的。妈妈看电影的时候还在上大学，现在回头再看，特技确实有些过时了。
111,勇敢者的游戏,The_Carrot,力荐,2011-09-24,这个的特效在当时算是超级给力了吧！而且是桌游相关啊有木有！
112,勇敢者的游戏,彩虹几度,推荐,2010-01-05,那年，是怎样地新奇
113,勇敢者的游戏,[已注销],推荐,2010-10-15,纯粹的怀旧 儿时总是幻想自己也可以玩这样的游戏
114,勇敢者的游戏,辉盾与黑刃,推荐,2008-06-07,小时候一直觉得是恐怖片，最近重看了以后发现一点都不恐怖
115,勇敢者的游戏,北极熊7,力荐,2011-06-26,大半夜的 笑死我了
116,勇敢者的游戏,CQB241,力荐,2011-07-04,时隔多年重看，感觉很好
117,勇敢者的游戏,-东/东/弗/斯-,推荐,2018-04-10,总算找到了！童年阴影！看CCTV6的预告片给我吓得一愣一愣的，好几天不敢睡觉！现在看起来后背还阴风阵阵……（看新版之后补，这部讲亲情和解，新版讲青春友情）
118,勇敢者的游戏,Windywings,推荐,2006-04-19,成为壮汉的艾伦回到现实世界第一事情仍然是找父母。
119,勇敢者的游戏,小湮婉姝,推荐,2010-12-05,小时候看的竟然吓得睡不着觉。。又看了一遍才发现是喜剧片竟然= =
120,好家伙,Milandini,较差,2007-02-01,Goodfellas.1990.DVDRip.XviD.Dual-Audio.iNT-Fit
121,好家伙,Katherine,推荐,2011-03-24,学习了关于那个意大利黑手党的常识，还必须要是纯正的意大利血统啊~~要求真严格
122,好家伙,节能君,还行,2014-05-25,老毛病，节奏慢。虽然欧美黑帮片很有感觉，但还是会更喜欢韩国黑帮片。简单残酷的戏剧冲突，悲凉凄惨的人物命运
123,好家伙,sirius_flower,还行,2019-10-13,斯老师确实厉害让你以为昆丁混进了剧组 不论是双视点（男主、女主）叙述旁白对片子做三段切割还是定格关键动作帧覆盖自白与评论都拿捏到位戏谑但不炫技过度 赌场和餐厅后厨两个长镜头可以但在其他同行面前并不出色。后半少了很多玩笑式的形式语言故事也变得严肃起来 如果说前半段呈现了男主在帮派内的成长并获得paul的赏识结婚生子前途光明 后半则以序曲杀人段落为分界完全转向了与paul理念相反的极端犯罪 汤米几米双米搭配就注定了溃灭的隐患所以自此我们就只是等待着怎么收场 最后男主通过出卖组织全身而退黑帮气血全尽 观看的动力已经消耗殆尽对主角的移情基本崩溃。所以港版的翻译《盗亦有道》就是瞎鸡巴扯淡 这恰恰是一个无道团伙的陨灭过程。在立场态度上多年后的华尔街之狼与此相近 如何拍恶人成了一种难题
124,好家伙,ilia,推荐,2011-01-24,狂像johnny depp有没有！！！！！！！！！！！！  那一天的部分很精彩，但整体有些乱啊，偏长了
125,好家伙,tikey,推荐,2013-08-24,马丁·斯科塞斯通过描述黑帮人物的经历，展现了一幅被扭曲的美国梦画卷。看似要风得风，挥金似土的不合法生活，其实是人性贪婪和残暴到达麻木后的状态。一直不喜欢马丁的片子，要不是做分析电影作业也不会看完此片，也算是意外收获~
126,好家伙,灰,力荐,2012-09-12,除了lorraine bucco，黑道家族用了好多台词都没有几句的小咖作为班底。。。pussy  christopher paulie phil 还有那个是carlo么？
127,好家伙,菲以,推荐,2012-03-20,罗伯特还是帅爆了。真人真事什么的感觉就是不一样。跟意大利人一起看黑手党的故事感觉就是不一样。然后为什么黑帮片的女人都要这么蠢……
128,好家伙,王二的Wilde,力荐,2012-05-20,相比其他黑帮片中对黑帮的蓄意美化，本片中几乎找不出一个正面角色，却又个个有血有肉个性鲜明。德尼罗不是第一男主，却撑起整个场面。
129,好家伙,丫头不笑,推荐,2012-05-24,真实改编～很喜欢这部黑帮电影
130,好家伙,托尔,推荐,2012-01-05,肩扛长镜头是一种艺术啊！黑道不是那么好玩的，出来混迟早要还。
131,好家伙,雲苍白浅影长,力荐,2012-05-07,无论从事什么行当，上进心很重要，努力进入体制内，成为体制的一员很重要。 
132,好家伙,Over5,力荐,2007-03-14,黑帮家规～老马最好的一部……老少爷们儿们生来就是一副横样儿，脾气暴，刀枪多于话语的蛮主儿～
133,好家伙,幼鹿,还行,2011-08-20,加入黑帮差不多等于选择了一种生活方式。ps.演汤米的那位已经不止一次看到他演那种极其凶残暴躁最后死的老惨，但他自己却不知道是怎么回事的角色了~
134,好家伙,清久,力荐,2013-12-13,没有永远的朋友，只有永远的利益。只要他们开始危及自身安全，便可不顾一切地除之而后快。
135,好家伙,容安,推荐,2011-06-18,什么叫出来混迟早要还的，什么叫没有永远的朋友也没有永远的敌人，只有永远的利益。
136,好家伙,陈大纸,暂未评价,2012-09-04,黑道片的结局永远是证人保护计划。
137,好家伙,ATM-09,力荐,2011-07-27,"到最后才知道是根据真实事件改编的，黑社会真nb,可惜没意大利血统不能入党啊"
138,好家伙,銀河映像創作組,力荐,2018-09-13,"老马丁作品的节奏一直是我比较钟意的，这部也不例外。节奏看得人异常舒服，大段旁白台词可谓锦上添花。以前听说本片的时候并不知道原来德尼罗和乔佩西是配角而雷利奥塔才是男一。三人组可谓各有发挥，虽然老罗跟佩西的戏感觉还是少了点。总觉得本片也有一丝丝黑色幽默片的味道，也许是极端的暴力、尔虞我诈中透着一股无奈导致的这种反差感吧。剧本很扎实，外加导演优秀的镜头语言和节奏把握，成就的一部经典黑帮片。PS：YouTube看过一个视频，好像说这部电影是史上爆粗口次数最多的英文片之一了，也就不奇怪当中各种""fuck, whore, prick""了,哈哈。"
139,好家伙,泊衡,暂未评价,2010-06-01,出来混是要还的。当利益相冲突的时候，只能相信自己，挺悲凉的
140,跛豪,joker,还行,2009-05-01,当吕良伟还未榜上名媛，你看看他多有男人味!
141,跛豪,一只猫,暂未评价,2016-08-05,一个大佬的兴与衰，传记类，叙事结构也相似，有点港版盗亦有道的意思。不喜欢跛豪这个角色，有胆识护短却又野心膨胀太过狂妄，几个配角郑则仕曾江徐锦江吴启华李子雄叶童叶子楣黄光亮，均是性格鲜明引人注目。最后探长分钱那段笑尿
142,跛豪,刘虫虫,推荐,2013-10-23,其实感觉把大哥演的太轻浮了，虽然的确有点自大才有最后的下场，还是有点黑人家了。大佬的女人强很到位。李子雄演好人感觉好不适应。
143,跛豪,十三世,推荐,2016-10-01,老港片严谨的质感，吕良伟前段中段到位，尾段表演还是有点过了
144,跛豪,ken_zhang,推荐,2009-08-15,吕良伟从影以来最经典的一次表演，一个黑道人物的兴衰史，简直就是香港版的《教父》。配图评论:http://blog.sina.com.cn/s/blog_602f80db0100e5r0.html~type=v5_one&label=rela_prevarticle
145,跛豪,送赞干部,推荐,2013-01-18,吕良伟那个表情还真是一脸低端横样
146,跛豪,信电影得永生,推荐,2017-05-30,很好的传记片。逃难到香港的人奋斗记。那一整个时代的记录。配角都刻画得相当入木三分。当然尺度也是大大的。人物心理变化铺排的也超充分。三星半。
147,跛豪,鹿村村民,力荐,2017-02-20,1991年的作品，难得的制作精良，有《教父》的风格，同样是讲一个社会底层（一个共同点是主角往往都是从内地偷渡到香港去实现自己所谓的理想），相较于麦当雄之前的作品内涵提升了不少，无论是立意还是剧情本身，二十多年过去依然不过时，称得上经典。
148,跛豪,Easy,力荐,2011-03-20,多年前看的，现在看依然是经典
149,跛豪,Kei,推荐,2011-03-16,段落清晰 之间连接一气呵成 仲有比头仲大既bra
150,跛豪,Chris  一切由无聊开始,还行,2010-11-13,不错，麦当雄整出来的片子对香港娱乐片贡献真不小。这种类型片拍起来竟然很不错。  “大家都知道，我们差人的职责是保护白粉顺利出售。”
151,跛豪,去皮红薯,推荐,2017-01-13,固然好看，离神作还是差了一点。吕良伟再用力，比周润发还是差了一点。
152,跛豪,合纥,推荐,2012-04-13,其实拍得还不错，就是小时候看着挺邪恶，没分级就是害人啊。
153,跛豪,林林,还行,2014-04-20,叙事很稳健，运镜上无美感，缺少技巧，一号人物跛豪不立体，未见其成长转变轨迹。
154,跛豪,雪,推荐,2014-04-27,属于一个时代的电影，136分钟的片长让人浑然不知，意犹未尽。每个人物都塑造的有血有肉，个性鲜明。影片的港味和历史的印迹是无法重现的。只是个别细节和转场有不足和缺失，但也无法阻止跛豪成为一部史诗级的黑帮电影
155,跛豪,Soaring,推荐,2008-02-29,吕良伟演得不错，已经好多年没看过他的电影了
156,跛豪,莫染,推荐,2011-06-18,一部港味十足的非困乏黑帮电影。
157,跛豪,悍客.罗,推荐,2011-02-25,吕良伟的感觉很不错 嚣张中有苍凉。倒是 徐锦江很是令人惊艳，只两三次出场，却分外抢戏，真是天生的好演员。。。
158,跛豪,珠我好运,推荐,2020-03-06,把纪录片影像（真实）和亦真亦假（虚构）的情节混杂融合在一起，刻画出一个心狠手辣，手腕强硬的枭雄形象。
159,跛豪,支离疏,力荐,2014-09-13,相当不错啊，写实，有细节，故事讲得稳健。
160,推手,lying,力荐,2013-12-15,李安退休生活三部曲
161,推手,著名女导演,还行,2010-11-19,郎雄撑起了这部电影。
162,推手,汤先生,推荐,2011-05-12,從推手到喜宴再到飲食男女，故事的內容越來越精綵，層次是越來越豐富。我卻是最喜歡第一部的推手，因為途中讓我想到，好像到這個年紀，唯一讓我不能用全部理智來對待的就是這濃得化不開的親情，為父母我可以毫無保留，掏出一切，就像他們為我付出所有、嘔心瀝血一樣。所以推手其實挺戳我淚點的。。。
163,推手,不想喝酸奶,推荐,2012-11-30,这不是中西冲突，是两代人的冲突！包容和理解很重要，这是对我的警告！
164,推手,忘不了,推荐,2010-05-07,李安的中国味
165,推手,陌生的天花板,力荐,2007-03-01,超级喜欢!!
166,推手,无咎,推荐,2008-05-16,李安的父子三部曲现在只剩喜宴没看了，感觉比他后期的电影观赏性强
167,推手,Allen zhou,还行,2013-10-30,本片是以文化符号-太极拳为载体讲家庭矛盾的故事，突出的却是代际冲突中，家长两面为难的心理斗争。以及老无所依的无奈。
168,推手,★,推荐,2013-10-13,4.5一整天時間又看一邊家庭三部曲，對李安敬佩之餘，還充滿了對郎雄的想念。中西文化碰撞，不僅是飲食、生活習慣、語言、為人處事上，更多的是情感上表達。東方太剋制，西方太直接。需要一個磨合的過程，也是對人類內心最內核部份的考驗。既然選擇了異國他鄉，就要學著善待周遭所不適應的一切。
169,推手,將軍雪夜入蔡州,推荐,2013-03-17,充满诚意
170,推手,魔女幼汐,推荐,2009-06-03,喜欢郎雄演的父亲
171,推手,xuxule,力荐,2009-10-26,赞郎雄
172,推手,赱馬觀♣,还行,2020-02-04,一上来充分利用异国公媳共处一室衣食住行上各种喜剧暗战斗法建立起文化冲突预期，但接下来或许是李安对美白中产文化生活不甚了解，也搭着饰演儿媳的女演员实在量级不够，这条矛盾主线很快在第二幕就失去了张力，儿媳的作家虚荣以及与闺蜜几次互动都像在应付差事。郎雄老头要靠与王莱老太的登场互动才维持着戏剧能量，可故事风格也因此转回了没出国门的民俗喜剧，好像唐人街版的李翰祥电影。再就是太极功夫这条武线也搞得过于夸张……
173,推手,安东妮,还行,2006-02-24,他的第一部电影……  然后有了更为流畅纯熟的《喜宴》《饮食男女》
174,推手,刘小流,力荐,2017-01-15,看过一半和一个人打赌猜结局，我说会是一个悲剧，因为不可调和。他说，最终会缓和。老朱打工那段似乎我已完胜，到结局，我们不再对比究竟谁胜了，人老了，最终能给安慰的也许更多的是——亲近的陌生人。
175,推手,红袖刀,推荐,2010-02-20,人老了都可能也像郎雄饰演的父亲那样生活？
176,推手,李小灿,推荐,2012-04-04,3.5，人物，冲突都被细节带出来了，虽然确实粗糙了点，不过我还喜欢这种欲说还休的中国味，就是功夫吹的好神奇啊
177,推手,drunkdoggy,力荐,2016-04-27,有意思！
178,推手,闻人林,推荐,2008-09-19,思考：文化差异 & 代沟
179,推手,JuvenLee,还行,2005-09-20,早几年看会好些
180,回到未来3,wowh,推荐,2011-12-11,三部曲完结了，但是结尾真让人意犹未尽。
181,回到未来3,十一月的雨,推荐,2020-04-02,三部曲终章，和第二部紧密串联，形式上致敬了西部片和伊斯特伍德。结尾就是一趟火车上的追逐，没有反派的高潮戏一样能拍得惊心动魄。马丁终于改掉了一听到别人骂自己胆小鬼就情绪失控的毛病，也因此救了自己的性命。博士找到真爱，和爱人穿梭时空云游四方。完美的结局。
182,回到未来3,Augenstern,力荐,2011-07-24,90年的片子拍到这种程度已经很让人难以置信了~~还有个小问题，如果是time travel，那他们的时间和年龄怎么算?
183,回到未来3,骑兵绕背,推荐,2012-07-08, 改变命运，创造未来。
184,回到未来3,小河子,还行,2013-07-28,未来永远在于自己的创造 想象力是足够的 只是电影语言略显粗陋  但是不妨碍其成为影史最佳的三部曲之一
185,回到未来3,Nakadai,较差,2011-05-14,这部除去美国人崇尚的西部元素作为笑点，几无创新之处。
186,回到未来3,CNFeat,还行,2010-11-21,第三部了，说实话，我都不能认真看下去了
187,回到未来3,心之以往,还行,2020-08-14,这个模式出到三也是差不多了  因为相同的梗再玩下去也是审美疲劳  话说早餐机器一条龙服务最早是出自这个电影吗？  现在好多人都爱玩这种连环运作的小机关
188,回到未来3,咕小兔,力荐,2010-02-11,你说的我TM都看过了，你还是不要我
189,回到未来3,小鱼,还行,2010-12-14,凡有续集的电影都不如最开始的好看
190,回到未来3,小岩菽,推荐,2012-02-03,西部题材除了决战尤马镇还没特别爱的，这部也不例外。3 episodes are enough
191,回到未来3,迪奥,还行,2008-10-23,重温1，2 才看到3
192,回到未来3,还没想好叫什么,力荐,2011-10-31,硬盘一直存有的...
193,回到未来3,Sigma von Zeta,推荐,2016-02-01,啊哈哈东木笑死了 可爱ww 这三部曲借了时间穿越的幌子说了一个成长的故事 还真不错w You talking to me!梗哈哈哈哈
194,回到未来3,反馈束缚症,力荐,2013-10-30,男主终于不激动了啊啊啊结尾真是赞哭。Already been there!!!
195,回到未来3,hiphop,力荐,2006-11-20,三部曲之三，漂亮的终结篇
196,回到未来3,猫语猫寻,力荐,2011-05-21,最有质量的系列电影了！
